,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
753,3,99,SUT,30.629,562,A,19,S,994,6.67,60.87,4.06,7,MON,NOV,N,1112,8.03,56.53,4.54,17,MON,OCT
754,3,99,SUT,35.96,563,B,17,S,732,6.67,57.5,3.84,7,TUE,SEP,N,1068,9.57,58.49,5.6,17,FRI,MAR
755,3,99,SUT,40.25,565,A,17,S,742,6.91,55.33,3.82,11,SAT,SEP,N,897,8,57.8,4.62,17,FRI,OCT
756,3,99,SUT,40.25,564,B,17,S,766,7.33,54.71,4.01,10,SAT,AUG,N,851,8.36,53.29,4.46,16,WED,AUG
757,3,99,SUT,42.389,305,O,17,S,604,6.82,53.64,3.66,12,SUN,SEP,N,810,8.98,54.62,4.9,17,FRI,SEP
758,3,99,BUT,0,305,O,17,S,604,6.82,53.64,3.66,12,SUN,SEP,N,810,8.98,54.62,4.9,17,FRI,SEP
759,3,99,BUT,7.69,570,B,19,N,793,7.93,61,4.84,7,WED,MAY,S,861,9.47,55.51,5.25,16,FRI,APR
760,3,99,BUT,11.159,573,A,19,N,740,8.25,65.14,5.37,7,TUE,FEB,S,732,8.2,64.78,5.31,17,THU,MAY
761,3,99,BUT,11.159,572,B,19,N,729,8.4,63.28,5.32,7,TUE,AUG,S,751,8.4,65.19,5.48,17,WED,SEP
762,3,99,BUT,13.161,574,B,19,N,715,7.02,73.18,5.14,6,TUE,APR,S,731,9.04,58.11,5.25,16,THU,FEB
763,3,99,BUT,21.067,576,B,17,N,555,8.8,57.93,5.1,7,THU,SEP,S,559,9.48,54.17,5.13,15,FRI,SEP
764,3,99,BUT,22.538,577,A,17,S,1498,9.62,52.95,5.1,7,MON,NOV,S,1539,9.35,56,5.24,17,FRI,NOV
765,3,99,BUT,34.245,201,B,19,S,3244,7.95,56.68,4.5,7,WED,SEP,N,3445,9.03,52.98,4.78,17,WED,MAY
766,3,99,BUT,36.305,590,A,17,S,1103,8.76,59.53,5.21,7,THU,SEP,N,1118,9.22,57.33,5.28,17,THU,SEP
767,3,99,BUT,44.32,595,A,17,S,677,8.43,57.37,4.83,7,WED,MAR,N,768,10.14,54.09,5.48,16,FRI,SEP
768,3,99,BUT,45.975,182,O,19,S,893,7.69,70.99,5.46,6,TUE,JAN,N,965,10.01,58.95,5.9,16,FRI,FEB
769,2,99,TEH,0,182,O,19,S,893,7.69,70.99,5.46,6,TUE,JAN,N,965,10.01,58.95,5.9,16,FRI,FEB
770,2,99,TEH,4.491,285,A,18,N,338,8.15,50.98,4.16,7,MON,AUG,S,423,10.1,51.52,5.2,15,FRI,AUG
771,2,99,TEH,24.943,141,B,18,N,509,7.39,68.23,5.04,7,FRI,AUG,N,506,9.93,50.45,5.01,15,FRI,MAY
772,7,101,LA,5.2,446,B,19,N,6705,5.98,59.04,3.53,7,THU,AUG,N,6392,5.66,59.42,3.36,13,SUN,OCT
773,7,101,LA,12.352,135,O,19,N,8032,5.68,65.75,3.73,12,FRI,OCT,N,8400,6.38,61.21,3.91,14,FRI,JAN
774,7,101,LA,19.994,136,O,19,N,9228,5.86,55.96,3.28,12,SAT,FEB,N,9451,6.34,53,3.36,14,TUE,APR
775,7,101,LA,37.54,901,A,19,S,6169,6.9,57.9,3.99,7,WED,SEP,N,6381,6.9,59.87,4.13,16,WED,NOV
776,7,101,VEN,7.5,457,A,19,N,4819,6.94,55.19,3.83,11,FRI,DEC,N,4889,6.74,57.73,3.89,15,MON,FEB
777,7,101,VEN,13.848,434,X,17,S,5203,7.68,52.59,4.04,7,THU,MAY,N,4774,6.93,53.52,3.71,15,MON,APR
778,7,101,VEN,20.2,147,A,19,N,4773,6.94,54.53,3.78,12,SAT,MAR,N,5235,6.92,59.91,4.15,17,TUE,OCT
779,7,101,VEN,25.17,740,A,17,N,4745,7.21,52.37,3.78,12,FRI,MAY,N,4897,7.32,53.24,3.9,17,FRI,MAY
780,5,101,SB,0.634,501,A,17,S,3233,8.28,54.15,4.48,12,MON,MAY,S,3351,7.29,63.74,4.65,16,THU,AUG
781,5,101,SB,9.003,117,B,18,N,3585,7.62,77.15,5.88,6,WED,JUN,N,3113,8.16,62.57,5.1,13,SAT,NOV
782,5,101,SB,16.552,549,B,17,S,5834,7.99,52.23,4.17,7,WED,AUG,N,5736,8.04,51.05,4.1,16,THU,OCT
783,5,101,SB,18.364,502,B,19,N,5619,7.98,50.81,4.06,8,THU,AUG,N,5810,8.04,52.14,4.19,15,TUE,OCT
784,5,101,SB,24.762,120,B,18,S,3244,6.87,68.21,4.69,7,WED,FEB,N,3353,8,60.53,4.84,16,WED,OCT
785,5,101,SB,48.847,503,B,19,N,1495,8.37,61.25,5.13,12,SAT,FEB,N,2102,10.28,70.14,7.21,15,THU,FEB
786,5,101,SB,62.671,118,B,18,S,1315,10.32,52.98,5.47,10,SUN,AUG,N,1350,8.99,62.41,5.61,16,THU,MAR
787,5,101,SLO,0.813,504,A,19,N,2921,6.51,67.95,4.42,6,TUE,OCT,S,3224,9.22,52.97,4.88,16,THU,JUL
788,5,101,SLO,17.756,441,B,19,N,3400,7.43,65.56,4.87,6,WED,AUG,S,3475,7.78,63.96,4.98,16,TUE,APR
789,5,101,SLO,25.911,534,A,19,N,5680,17.04,50.93,8.68,12,SUN,JUN,S,6068,16.19,57.26,9.27,15,MON,JUN
790,5,101,SLO,27.501,540,B,19,S,3025,8.65,54.6,4.72,11,SAT,APR,S,3266,9.01,56.58,5.1,15,FRI,SEP
791,5,101,SLO,29.985,238,A,19,S,3015,8.39,70.36,5.9,7,WED,AUG,N,3126,10.44,58.61,6.12,17,FRI,JUL
792,5,101,SLO,52.44,239,A,19,N,2671,8.75,55.45,4.85,10,SUN,JUL,N,2960,9.57,56.17,5.37,16,THU,AUG
793,5,101,SLO,57.92,248,A,18,N,1494,9.88,54.79,5.41,12,SUN,JUN,N,1567,10.59,53.59,5.67,14,SUN,OCT
794,5,101,SLO,60.98,245,B,19,S,1498,9.8,57.26,5.61,9,FRI,AUG,S,1565,10.45,56.09,5.86,15,THU,NOV
795,5,101,SLO,69.322,552,O,18,S,1141,11.35,57.34,6.51,11,SAT,OCT,N,1432,14.97,54.53,8.17,14,SUN,OCT
796,5,101,MON,0,552,O,18,S,1141,11.35,57.34,6.51,11,SAT,OCT,N,1432,14.97,54.53,8.17,14,SUN,OCT
797,5,101,MON,32.015,508,B,18,S,1093,10.58,56.6,5.99,12,FRI,OCT,N,1311,12.04,59.65,7.18,17,SUN,OCT
798,5,101,MON,47.694,741,A,19,N,1459,8.87,57.42,5.09,11,MON,SEP,N,1664,10.43,55.65,5.81,16,SUN,APR
799,5,101,MON,66.398,510,B,19,N,2699,8.43,69.21,5.84,7,THU,SEP,S,2746,9.09,65.33,5.94,17,THU,SEP
800,4,101,SCL,3.197,58,B,19,S,2992,8.43,58.36,4.92,10,SAT,AUG,N,2889,8.46,56.14,4.75,16,FRI,OCT
801,4,101,SCL,6.08,230,A,19,N,4530,5.16,80.85,4.17,5,MON,OCT,S,4725,7.2,60.41,4.35,16,THU,OCT
802,4,101,SCL,10.27,911,B,19,S,4756,7.45,55.52,4.13,11,SAT,APR,S,4866,7.26,58.25,4.23,13,FRI,DEC
803,4,101,SCL,12.46,425,B,19,S,8371,8.29,71.33,5.91,11,THU,MAY,S,8764,8.41,73.6,6.19,14,TUE,MAY
804,4,101,SCL,16.006,229,B,19,S,5102,7.38,55.26,4.08,11,SAT,OCT,S,5446,7.07,61.52,4.35,14,THU,FEB
805,4,101,SCL,48.103,452,B,19,N,7033,7.29,51.79,3.78,9,WED,APR,N,6564,6.68,52.8,3.52,17,MON,JUL
806,4,101,SM,13.461,201,B,19,N,8605,6.37,51.15,3.26,12,SAT,DEC,N,8691,6.3,52.26,3.29,16,SAT,JUN
807,4,101,SM,13.461,445,A,19,N,8482,6.14,52.63,3.23,7,FRI,SEP,S,8500,6.34,51.14,3.24,15,MON,DEC
808,4,101,SM,16.575,436,B,19,S,8624,6.24,50.96,3.18,7,WED,JUN,S,10279,6.73,56.27,3.79,15,FRI,MAR
809,4,101,SM,22.713,225,A,19,N,7792,6.53,54.46,3.56,7,TUE,JUN,N,7555,6.29,54.82,3.45,15,FRI,DEC
810,4,101,SF,0.774,108,B,19,S,7632,6.59,52.85,3.49,7,WED,JUN,S,7137,6.46,50.42,3.26,16,MON,MAR
811,4,101,SON,19.646,404,A,19,S,5245,7.56,51.32,3.88,12,FRI,JUN,S,5544,7.81,52.55,4.1,14,TUE,APR
812,1,101,MEN,17.28,937,O,18,S,743,8.06,58.55,4.72,11,SUN,JUL,N,912,9.99,57.98,5.79,15,FRI,JUL
813,1,101,MEN,21.8,933,B,18,S,940,7.92,60.37,4.78,12,SUN,JUN,N,1066,9.61,56.43,5.42,14,FRI,MAY
814,1,101,MEN,30.833,121,A,19,S,1302,8.93,60.73,5.42,12,MON,JUL,N,1377,9.21,62.25,5.74,17,THU,JUN
815,1,101,MEN,42.2,164,O,19,S,879,8.11,64.16,5.2,11,SUN,AUG,N,998,9.78,60.38,5.9,17,FRI,JUL
816,1,101,MEN,43.787,150,B,19,S,400,9.84,59.52,5.86,11,WED,NOV,N,485,11.09,64.07,7.1,17,FRI,MAY
817,1,101,MEN,48.22,151,B,19,S,386,10.78,65.65,7.08,11,SUN,AUG,S,428,12.54,62.57,7.85,13,SUN,AUG
818,1,101,MEN,55.38,115,B,19,S,525,11.75,56.27,6.61,12,SAT,JUL,N,549,11.32,61.07,6.91,14,FRI,MAY
819,1,101,MEN,59.33,122,A,18,S,932,16.53,87.18,14.41,9,THU,JAN,S,698,13.6,79.32,10.79,16,THU,JAN
820,1,101,MEN,93.602,152,B,19,S,470,14.26,61.2,8.72,11,SUN,JUL,N,463,12.35,69.62,8.6,13,THU,JUL
821,1,101,HUM,0.19,142,O,19,S,442,9.91,79.78,7.91,10,SUN,MAY,S,445,13.67,58.25,7.96,13,SUN,AUG
822,1,101,HUM,33.246,928,A,19,N,559,8.9,91.64,8.15,11,SUN,NOV,N,1056,17.12,89.95,15.4,19,MON,JUN
823,1,101,HUM,51.84,801,B,17,S,557,10.31,59,6.09,11,FRI,AUG,N,615,11.14,60.29,6.72,15,MON,AUG
824,1,101,HUM,57.51,185,B,19,N,749,8.24,61.09,5.04,12,SUN,DEC,N,932,10.92,57.39,6.27,17,FRI,OCT
825,1,101,HUM,65.54,110,A,19,N,1209,7.88,65.14,5.13,7,TUE,NOV,S,1406,9.6,62.16,5.97,17,TUE,JUL
826,1,101,HUM,73.49,147,B,19,N,1380,9.36,53.95,5.05,8,TUE,MAR,S,1643,10.32,58.28,6.01,17,MON,SEP
