,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1068,9,178,KER,88.26,911,B,20,E,187,21.66,61.92,13.41,11,SUN,AUG,E,183,17.43,75.31,13.13,15,SUN,JUN
1069,9,178,KER,88.38,933,A,20,E,147,11.02,58.1,6.41,8,SAT,JUN,W,154,10.94,61.36,6.71,16,THU,DEC
1070,9,178,KER,93.237,920,A,20,E,288,8.77,60.89,5.34,7,MON,DEC,W,353,10.6,61.71,6.54,16,TUE,DEC
1071,9,178,KER,101.18,636,O,20,E,770,10.99,58.29,6.4,11,THU,FEB,E,920,11.44,66.91,7.65,16,MON,JAN
1072,9,178,KER,102.616,137,A,20,W,480,8.68,63.66,5.53,7,TUE,DEC,W,530,10.97,55.61,6.1,16,WED,DEC
1073,9,178,KER,102.616,180,B,20,E,1213,10.29,64.49,6.64,12,FRI,FEB,E,1129,9.35,66.1,6.18,14,TUE,OCT
1074,8,178,SBD,14.778,512,B,19,E,231,11.11,87.5,9.72,5,THU,SEP,W,212,11.86,75.18,8.92,16,WED,FEB
1075,9,178,INY,42.93,937,A,20,E,91,14.98,65.94,9.88,12,SUN,OCT,E,90,18.35,53.25,9.77,13,MON,MAR
1076,6,180,FRE,23.5,54,A,19,E,479,7.68,54.12,4.16,5,FRI,SEP,W,644,11.03,50.67,5.59,16,MON,SEP
1077,6,180,FRE,34.59,118,B,19,W,353,8.34,57.87,4.83,7,THU,SEP,E,415,8.67,65.46,5.67,15,MON,MAR
1078,6,180,FRE,40.11,667,A,20,W,442,7.29,76.21,5.55,5,THU,JUL,E,481,9.88,61.2,6.04,17,FRI,OCT
1079,6,180,FRE,52.59,49,B,20,E,872,10.21,54.84,5.6,7,WED,FEB,W,815,9.76,53.58,5.23,17,FRI,OCT
1080,6,180,FRE,56.52,678,B,20,E,2280,10.88,62.9,6.85,7,THU,FEB,W,2132,10.64,60.18,6.4,17,THU,OCT
1081,6,180,FRE,57.069,704,B,20,E,4701,8.84,52.61,4.65,7,THU,DEC,E,4726,8.68,53.85,4.67,16,WED,NOV
1082,6,180,FRE,57.843,705,B,20,W,5462,8.97,53.78,4.82,7,TUE,OCT,E,5628,9.15,54.28,4.97,15,THU,FEB
