,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
910,11,125,SD,3.061,131,B,21,S,1122,11.88,57.96,6.89,7,MON,SEP,N,1015,10.58,58.91,6.23,15,MON,AUG
911,11,125,SD,12.967,991,A,22,N,6594,7.23,53.15,3.84,7,MON,APR,S,6356,7.2,51.43,3.7,16,WED,JUL
912,11,125,SD,18.422,745,A,22,N,3799,9.19,53.6,4.93,7,THU,SEP,S,4147,9.52,56.53,5.38,15,THU,AUG
913,11,125,SD,22.172,749,B,22,N,3104,8.25,62.53,5.16,7,MON,NOV,S,3209,9.37,56.92,5.33,17,TUE,NOV
914,11,125,SD,22.301,748,B,22,S,1569,7.71,69.7,5.37,7,TUE,NOV,S,1810,9.06,68.43,6.2,17,FRI,DEC
915,7,126,VEN,21.137,160,B,20,E,1395,7.21,55.96,4.04,12,SAT,NOV,W,1506,7.44,58.55,4.36,15,TUE,NOV
916,7,126,VEN,30.8,907,O,20,W,1509,10.12,66.59,6.74,11,SAT,AUG,E,1541,11.81,58.24,6.88,18,FRI,NOV
917,8,127,SBD,0,127,A,21,S,660,14.31,71.97,10.3,11,SUN,JUN,S,715,15.89,70.24,11.16,13,SUN,JUN
918,9,127,INY,6.51,954,A,22,S,80,15.13,62.5,9.46,10,FRI,FEB,S,71,13.59,61.74,8.39,17,SAT,NOV
919,9,127,INY,14.749,935,A,22,N,79,13.77,67.52,9.29,8,THU,JUL,S,80,15.06,62.5,9.41,16,FRI,JUL
920,9,127,INY,16.43,956,A,22,S,33,14.41,67.35,9.71,11,TUE,DEC,N,34,13.53,73.91,10,15,SAT,NOV
921,9,127,INY,16.43,965,B,22,N,41,12.86,75.93,9.76,11,FRI,DEC,S,49,19.52,59.76,11.67,13,FRI,MAR
922,9,127,INY,41.99,647,B,22,S,32,13.39,71.11,9.52,10,SUN,FEB,N,30,13.99,63.83,8.93,13,FRI,FEB
923,9,127,INY,42.149,517,B,22,N,146,15.33,65.47,10.03,12,SUN,FEB,N,167,16.63,69.01,11.48,13,SUN,DEC
924,9,127,INY,42.149,925,A,22,N,59,12.12,57.28,6.94,10,THU,APR,S,63,12.59,58.88,7.41,15,FRI,APR
925,9,127,INY,49.42,998,B,22,S,52,10.57,62.65,6.62,12,FRI,SEP,N,60,10.06,75.95,7.64,17,WED,DEC
926,1,128,MEN,23.71,120,O,22,E,318,11.46,71.95,8.25,11,MON,FEB,W,296,14.03,54.71,7.68,15,FRI,JUL
927,1,128,MEN,29.82,166,O,20,E,359,23.15,84.27,19.51,7,THU,OCT,E,858,52.07,89.56,46.63,16,SUN,OCT
928,4,128,SON,4.971,97,A,20,E,242,11.62,70.35,8.18,10,FRI,SEP,E,288,12.53,77.63,9.73,15,THU,SEP
929,3,128,YOL,4.637,730,B,20,W,184,16.2,51.69,8.37,12,SAT,MAY,W,232,17.61,59.95,10.56,13,SAT,MAY
930,3,128,YOL,4.637,731,A,20,W,180,13.83,59.8,8.27,12,SUN,MAY,E,235,15.25,70.78,10.79,16,FRI,FEB
931,5,129,SCR,0,204,A,20,E,495,6.75,63.71,4.3,7,WED,OCT,E,615,8.53,62.63,5.34,15,THU,OCT
932,5,129,SCR,3.35,340,B,22,E,613,9.83,62.55,6.15,6,TUE,JUL,E,610,11.32,54.03,6.12,16,FRI,AUG
933,5,129,SBT,2.644,247,B,22,W,666,10.51,67.48,7.09,12,SAT,JUL,W,701,10.32,72.34,7.46,13,SAT,SEP
934,4,131,MRN,4.392,102,B,20,E,277,10.48,57.59,6.04,12,SUN,MAR,E,344,11.7,64.06,7.5,16,FRI,DEC
935,10,132,SJ,6.06,14,A,20,W,1517,9.46,96.38,9.12,4,THU,NOV,E,1359,9.87,82.77,8.17,15,TUE,SEP
936,12,133,ORA,13.644,942,B,22,S,6418,21.9,84.17,18.44,8,THU,SEP,N,3214,13.16,70.18,9.23,17,WED,OCT
937,7,134,LA,7.127,731,X,21,E,7380,7.28,56.51,4.12,12,FRI,APR,E,7993,7.35,60.64,4.46,16,THU,NOV
938,7,134,LA,10.3,756,A,21,E,7249,7.12,54.66,3.89,12,SAT,FEB,E,7973,7.76,55.14,4.28,17,THU,AUG
939,7,134,LA,12.09,540,B,20,W,9164,7.42,55.09,4.09,7,WED,NOV,E,8920,7.58,52.49,3.98,17,MON,NOV
940,5,135,SB,9.095,217,A,21,S,1321,10.17,77.07,7.84,6,TUE,NOV,N,1402,12.61,65.95,8.32,16,WED,SEP
941,5,135,SB,15.772,533,B,21,S,1137,8.1,55.63,4.51,12,SUN,MAR,S,1160,8.96,51.28,4.6,17,FRI,NOV
942,5,135,SB,17.806,225,B,21,N,1399,6.75,85.25,5.75,6,THU,SEP,S,1384,9.75,58.35,5.69,16,THU,SEP
943,5,135,SB,17.806,933,B,21,N,1399,6.75,85.25,5.75,6,THU,SEP,S,1384,9.75,58.35,5.69,16,THU,SEP
944,9,136,INY,17.73,938,B,22,E,35,15.92,58.33,9.28,12,TUE,JUL,W,42,16.98,65.63,11.14,14,SUN,JUL
945,6,137,KIN,0,95,A,22,W,288,12.4,67.77,8.4,6,THU,FEB,E,298,11.73,74.13,8.69,15,THU,MAR
946,6,137,TUL,7.2,22,A,20,W,111,6.73,82.84,5.57,5,WED,MAY,E,157,12.05,65.42,7.89,16,FRI,FEB
947,6,137,TUL,7.2,19,B,20,W,243,9.22,74.31,6.85,7,FRI,FEB,E,283,11.68,68.36,7.98,16,FRI,FEB
948,6,137,TUL,14.26,25,B,20,E,221,7.01,60.38,4.24,7,THU,FEB,E,294,9.72,57.99,5.63,16,WED,NOV
949,6,137,TUL,14.98,30,B,20,E,424,8.63,51.39,4.44,12,SUN,MAY,E,514,9.7,55.45,5.38,15,TUE,FEB
950,6,137,TUL,15.78,97,B,20,E,250,9.74,56.82,5.53,12,FRI,NOV,E,292,11.35,56.92,6.46,17,FRI,NOV
951,6,137,TUL,15.78,151,A,20,W,438,8.68,54.82,4.76,12,FRI,AUG,E,512,10.85,51.25,5.56,15,FRI,NOV
952,6,137,TUL,17.511,23,A,22,E,732,6.01,85.32,5.13,4,TUE,NOV,W,758,9.38,56.61,5.31,15,WED,MAR
