,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1134,7,210,LA,27.409,156,O,21,E,9991,7.35,54.33,3.99,12,SUN,JUN,E,9828,7.23,54.37,3.93,13,SAT,FEB
1135,7,210,LA,31.46,810,O,21,E,8278,7.29,52.08,3.8,10,SAT,MAY,W,8114,6.95,53.54,3.72,13,SUN,APR
1136,7,210,LA,41.594,905,A,20,W,8357,7.02,53.52,3.76,11,SUN,OCT,W,8446,6.93,54.78,3.8,16,SUN,OCT
1137,7,210,LA,46.207,128,O,20,W,7083,7.16,61.09,4.37,8,MON,NOV,W,6706,7.81,53.01,4.14,15,SAT,OCT
1138,7,210,LA,51.849,495,B,21,W,6190,6.15,61.31,3.77,7,TUE,MAY,E,6165,6.71,55.9,3.75,14,TUE,MAR
1139,7,210,LA,52.148,895,B,21,W,6190,6.15,61.31,3.77,7,TUE,MAY,E,6165,6.71,55.9,3.75,14,TUE,MAR
1140,8,210,SBD,1.497,201,A,21,W,6580,5.85,62.95,3.68,7,TUE,FEB,E,6533,6.71,54.49,3.66,14,WED,APR
1141,8,210,SBD,11.498,204,A,19,W,6954,6.22,61.66,3.84,6,WED,SEP,E,7501,7.04,58.82,4.14,19,FRI,JAN
1142,8,210,SBD,11.498,202,B,19,E,6581,6.32,55.61,3.52,11,SAT,MAY,E,6961,6.83,54.47,3.72,16,TUE,JAN
1143,8,210,SBD,23.136,306,B,19,W,4652,6.61,54.43,3.6,7,THU,FEB,E,5925,7.93,57.79,4.58,15,THU,FEB
1144,8,210,SBD,23.588,210,B,19,W,6629,6.76,60.74,4.11,7,THU,SEP,W,5944,6.83,53.9,3.68,15,FRI,FEB
1145,8,210,SBD,26.729,211,B,20,W,4347,8.24,53.84,4.44,7,TUE,JAN,W,4460,8.06,56.48,4.55,16,FRI,JAN
1146,8,210,SBD,33.18,864,B,20,E,3309,7.99,55.35,4.42,7,TUE,JAN,W,3160,7.6,55.57,4.22,15,SAT,AUG
1147,1,211,HUM,77.05,148,A,19,S,393,13.44,51.31,6.89,12,SAT,NOV,N,435,14.35,53.18,7.63,13,SAT,NOV
1148,8,215,RIV,9.507,902,A,21,S,4528,5.91,64.4,3.8,7,FRI,APR,N,4743,6.68,59.71,3.99,17,TUE,FEB
1149,8,215,RIV,26.308,827,A,21,S,4065,7.32,54.29,3.97,12,SAT,JUN,S,3920,7.55,50.78,3.83,14,FRI,MAR
1150,8,215,RIV,30.933,214,A,21,N,5111,6.34,58.82,3.73,6,THU,JUL,S,4980,6.54,55.53,3.63,17,TUE,AUG
1151,8,215,RIV,42.163,230,A,21,N,8019,5.91,59.42,3.51,8,SAT,SEP,N,7869,6.08,56.62,3.44,15,SAT,AUG
1152,8,215,RIV,43.9,232,B,21,N,9312,6.61,74.27,4.91,7,THU,APR,N,9316,6.49,75.7,4.91,16,TUE,MAY
1153,8,215,SBD,4.052,828,A,21,N,7273,6.59,53.1,3.5,12,FRI,JUN,N,8761,7.42,56.86,4.22,16,WED,MAR
1154,8,215,SBD,4.052,868,B,21,S,6979,6.52,53.45,3.49,7,WED,MAR,S,7171,6.71,53.38,3.58,15,WED,JAN
1155,8,215,SBD,14.104,606,A,21,S,2934,6.77,59.79,4.05,6,WED,SEP,N,2963,7.18,56.93,4.09,15,WED,SEP
1156,6,216,TUL,0.488,142,A,20,W,708,10.02,55.57,5.57,7,TUE,OCT,E,815,10.66,60.1,6.41,17,TUE,OCT
