DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH,YEAR,,
3,49,NEV,15.81,214,A,18,S,387,8.88,62.32,5.53,8,TUE,FEB,N,369,9.02,58.48,5.27,17,WED,NOV,2018,,
3,49,NEV,32.637,324,O,18,S,126,12.38,57.27,7.09,12,SUN,AUG,S,138,12.61,61.61,7.77,13,SUN,AUG,2018,,
3,49,YUB,0,324,O,18,S,126,12.38,57.27,7.09,12,SUN,AUG,S,138,12.61,61.61,7.77,13,SUN,AUG,2018,,
3,49,SIE,47.44,217,B,18,S,50,20.12,75.76,15.24,11,FRI,AUG,N,49,17.99,83.05,14.94,14,SAT,NOV,2018,,
2,49,PLU,7.5,121,B,16,S,62,9.41,65.96,6.21,8,TUE,AUG,S,76,10.81,70.37,7.61,17,MON,AUG,2018,,
3,50,YOL,2.477,410,B,18,W,7066,8.18,71.17,5.82,9,THU,NOV,W,7554,9.2,67.66,6.23,16,THU,AUG,2018,,
3,50,SAC,2.43,422,B,18,E,10012,7.19,50.27,3.62,7,WED,APR,E,9511,6.66,51.56,3.44,13,FRI,APR,2018,,
3,50,SAC,2.131,225,B,18,E,9314,7.98,50.15,4,7,TUE,APR,E,9191,7.33,53.82,3.95,15,WED,APR,2018,,
3,50,SAC,5.336,230,A,18,E,8180,8,55.58,4.44,7,WED,MAY,W,8067,8.45,51.84,4.38,16,THU,JAN,2018,,
3,50,SAC,7.746,232,A,18,E,8308,8.28,53.26,4.41,7,TUE,NOV,E,8337,8.54,51.82,4.43,16,FRI,JAN,2018,,
3,50,SAC,10.919,234,A,18,W,7148,8.49,58.62,4.98,7,TUE,SEP,E,6833,8.32,57.23,4.76,16,FRI,NOV,2018,,
3,50,ED,8.564,245,B,18,W,3065,7.12,60.63,4.32,7,THU,APR,E,3582,8.84,57.03,5.04,15,FRI,APR,2018,,
3,50,ED,18.032,314,A,18,E,2493,9.53,60.69,5.78,10,SAT,JUL,E,2927,9.59,70.8,6.79,15,FRI,FEB,2018,,
3,50,ED,20.741,246,A,18,E,1873,10.39,67.37,7,10,SAT,OCT,W,1845,11.18,61.71,6.9,14,SUN,JUL,2018,,
3,50,ED,31.299,315,A,18,W,1333,18.63,60.81,11.33,11,SUN,JUN,W,1314,16.39,68.12,11.17,15,SUN,JUL,2018,,
3,50,ED,70.621,383,A,16,W,1310,11.54,83.07,9.59,10,SUN,NOV,W,1085,12.19,65.13,7.94,14,SUN,SEP,2018,,
3,50,ED,70.621,382,B,16,W,1176,14.11,71.58,10.1,11,SUN,SEP,W,1032,17.35,51.09,8.86,13,SUN,JUL,2018,,
3,50,ED,72.71,316,A,18,W,827,11.1,60.02,6.66,12,SUN,OCT,E,805,11.26,57.58,6.48,15,FRI,OCT,2018,,
3,50,ED,78.42,385,A,18,E,1439,9.29,53.36,4.96,11,SUN,AUG,W,1484,9.47,53.96,5.11,14,SAT,SEP,2018,,
3,50,ED,78.42,384,B,18,W,1445,9.68,52.39,5.07,11,SAT,SEP,E,1449,9.3,54.68,5.09,13,SAT,MAY,2018,,
3,51,SAC,3.357,430,B,17,S,6307,7.16,51.14,3.66,7,WED,MAY,N,5807,6.73,50.16,3.37,14,TUE,NOV,2018,,
3,51,SAC,4.061,432,A,18,S,7451,7.03,61.66,4.33,7,TUE,MAR,N,7002,6.74,60.48,4.07,16,MON,MAR,2018,,
3,51,SAC,7.969,433,A,18,S,5441,6.45,61.07,3.94,6,THU,AUG,N,5928,7.13,60.23,4.29,15,WED,AUG,2018,,
11,52,SD,0.324,720,A,18,W,4176,7.28,59.13,4.31,7,FRI,OCT,E,5218,8.5,63.3,5.38,13,TUE,AUG,2018,,
11,52,SD,3.761,703,B,18,E,4024,7.29,60.91,4.44,7,THU,MAR,E,4284,8.01,59.06,4.73,15,WED,MAR,2018,,
11,52,SD,5.494,725,B,18,W,5427,8.92,59.82,5.34,7,THU,MAY,E,5536,9.37,58.12,5.44,15,TUE,JUL,2018,,
11,52,SD,5.494,726,A,18,W,5943,8.89,61.61,5.48,7,TUE,SEP,E,6346,9.08,64.45,5.85,15,THU,MAR,2018,,
11,52,SD,8.713,727,B,18,W,6378,8.48,73.16,6.2,7,THU,MAR,E,5357,7.78,66.95,5.21,15,THU,AUG,2018,,
11,52,SD,8.713,728,A,18,W,5749,8.14,72.09,5.87,7,WED,FEB,E,5552,8.53,66.39,5.67,15,FRI,NOV,2018,,
11,52,SD,13.273,730,A,18,W,4020,6.29,75.31,4.73,6,FRI,OCT,E,4592,8.33,64.92,5.41,15,FRI,JAN,2018,,
11,52,SD,13.273,729,B,18,W,5136,7.97,67.15,5.35,6,TUE,AUG,W,10939,15.95,71.47,11.4,14,FRI,APR,2018,,
11,52,SD,14.962,732,B,18,W,4017,6.4,74.2,4.75,6,WED,NOV,E,4583,7.99,67.82,5.42,17,THU,OCT,2018,,
11,52,SD,15.829,733,O,18,W,3109,5.93,62.21,3.69,6,TUE,AUG,E,4281,8.58,59.19,5.08,15,WED,NOV,2018,,
11,52,SD,16.735,734,O,18,W,3150,5.63,69.4,3.91,6,WED,SEP,E,4041,8.3,60.41,5.01,15,MON,OCT,2018,,
1,53,LAK,5.15,728,A,18,N,414,8.91,53.42,4.76,11,FRI,JUN,N,485,10.49,53.18,5.58,15,WED,NOV,2018,,
1,53,LAK,7.413,729,B,18,N,357,8.26,75.64,6.25,12,FRI,JUN,N,396,9.42,73.61,6.93,14,FRI,MAR,2018,,
11,54,SD,1.88,814,A,18,W,7031,7.31,64.66,4.72,7,WED,AUG,E,6131,7.44,55.33,4.12,15,TUE,MAY,2018,,
11,54,SD,4.207,816,A,18,W,5883,7.73,61.24,4.73,7,TUE,MAY,E,5102,7.63,53.78,4.1,15,WED,MAR,2018,,
11,54,SD,4.207,815,B,18,W,6443,7.65,61.53,4.7,7,WED,APR,E,5594,7.56,54,4.08,15,TUE,MAY,2018,,
11,54,SD,4.994,743,A,18,W,5512,8.23,57.16,4.7,7,THU,OCT,W,4778,7.86,51.88,4.08,17,TUE,AUG,2018,,
11,54,SD,12.257,890,B,18,W,959,7.72,53.31,4.12,8,WED,APR,W,1202,9.88,52.22,5.16,15,WED,DEC,2018,,
12,55,ORA,14.37,94,A,16,N,8378,6.87,52.65,3.62,11,FRI,MAR,N,9544,7.53,54.76,4.12,16,MON,OCT,2018,,
11,56,SD,0.309,751,A,18,W,5528,9.31,66.08,6.15,7,THU,MAY,E,4606,7.47,68.68,5.13,17,THU,MAY,2018,,
11,56,SD,0.82,752,A,18,W,5114,9.22,67.17,6.2,7,TUE,JAN,E,4252,8.05,64.03,5.15,15,MON,JUN,2018,,
11,56,SD,3.103,750,B,18,W,4300,9.28,61.92,5.75,7,WED,JUN,E,4062,7.49,72.51,5.43,16,TUE,FEB,2018,,
11,56,SD,3.103,755,A,18,W,3782,8.33,68.5,5.71,7,MON,JUN,E,3985,8.25,72.93,6.02,15,MON,MAY,2018,,
