DI,RTE_x,CO,PM,HOUR,PHV,LONGITUDE,LATITUDE
11,5,SD,41.509,15,7705,-117.28733333333334,33.04822222222222
11,5,SD,42.712,16,7455,-117.29241666666668,33.06511111111111
11,5,SD,51.201,15,7377,-117.35141666666668,33.176944444444445
11,5,SD,52.834,13,7041,-117.3675,33.19638888888888
12,5,ORA,30.263,14,9621,-117.83352777777776,33.74066666666667
12,5,ORA,30.263,16,11211,-117.83352777777776,33.74066666666667
7,5,LA,41.0,16,7654,-118.46052777777778,34.28563888888889
7,5,LA,56.602,16,5900,-118.61616666666666,34.456
11,5,SD,0.878,17,2990,-117.04041666666666,32.54936111111111
11,5,SD,4.632,16,7658,-117.08725,32.58383333333334
11,5,SD,11.129,21,43920,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7869,-117.12180555555555,32.69286111111111
11,5,SD,20.056,15,7792,-117.20402777777778,32.75911111111111
11,5,SD,20.056,15,8381,-117.20402777777778,32.75911111111111
11,5,SD,30.682,16,5880,-117.22483333333334,32.9045
11,5,SD,30.682,14,9096,-117.22483333333334,32.9045
11,5,SD,41.509,15,7493,-117.28733333333334,33.04822222222222
11,5,SD,51.201,13,7369,-117.35141666666668,33.176944444444445
11,5,SD,54.39,14,6130,-117.38733333333334,33.21027777777778
12,5,ORA,30.263,13,10511,-117.83352777777776,33.74066666666667
11,5,SD,0.878,16,1386,-117.04041666666666,32.54936111111111
11,5,SD,4.632,16,7221,-117.08725,32.58383333333334
11,5,SD,11.129,14,38130,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7713,-117.12180555555555,32.69286111111111
11,5,SD,20.056,18,8185,-117.20402777777778,32.75911111111111
11,5,SD,30.682,16,5745,-117.22483333333334,32.9045
11,5,SD,30.682,17,8611,-117.22483333333334,32.9045
11,5,SD,52.834,15,6921,-117.3675,33.19638888888888
12,5,ORA,30.263,20,13523,-117.83352777777776,33.74066666666667
11,5,SD,0.878,19,3020,-117.04041666666666,32.54936111111111
11,5,SD,4.632,17,7467,-117.08725,32.58383333333334
11,5,SD,11.129,17,13008,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7574,-117.12180555555555,32.69286111111111
11,5,SD,20.056,15,8220,-117.20402777777778,32.75911111111111
11,5,SD,25.947,15,10384,-117.23472222222222,32.83755555555556
11,5,SD,30.682,15,4725,-117.22483333333334,32.9045
11,5,SD,30.682,15,7406,-117.22483333333334,32.9045
11,5,SD,41.509,14,6916,-117.28733333333334,33.04822222222222
11,5,SD,51.201,16,6952,-117.35141666666668,33.176944444444445
11,5,SD,52.834,16,11083,-117.3675,33.19638888888888
11,5,SD,54.39,13,6993,-117.38733333333334,33.21027777777778
12,5,ORA,30.263,16,11301,-117.83352777777776,33.74066666666667
11,5,SD,0.878,15,2183,-117.04041666666666,32.54936111111111
11,5,SD,4.632,14,7441,-117.08725,32.58383333333334
11,5,SD,11.129,18,14226,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7544,-117.12180555555555,32.69286111111111
11,5,SD,25.947,15,9689,-117.23472222222222,32.83755555555556
11,5,SD,30.682,15,4296,-117.22483333333334,32.9045
11,5,SD,30.682,15,7724,-117.22483333333334,32.9045
11,5,SD,51.201,13,6804,-117.35141666666668,33.176944444444445
11,5,SD,52.834,15,12386,-117.3675,33.19638888888888
11,5,SD,54.39,15,8794,-117.38733333333334,33.21027777777778
12,5,ORA,21.304,17,4160,-117.73497222222224,33.64469444444445
12,5,ORA,30.263,16,22140,-117.83352777777776,33.74066666666667
12,5,ORA,30.263,14,9546,-117.83352777777776,33.74066666666667
7,5,LA,41.0,16,5762,-118.46052777777778,34.28563888888889
7,5,LA,55.48,17,5288,-118.60783333333332,34.44433333333333
